Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
CPS,Cooper-Standard Holdings Inc.,97.88,$1.69B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/cps
DAN,Dana Incorporated,14.65,$2.11B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dan
DLPH,Delphi Automotive plc,65.99,$18B,2011,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dlph
DW,Drew Industries Incorporated,93.2,$2.29B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dw
HON,Honeywell International Inc.,109,$82.94B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/hon
HZN,Horizon Global Corporation,20.4,$371.14M,2015,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/hzn
IR,Ingersoll-Rand plc (Ireland),65.79,$16.97B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/ir
LEA,Lear Corporation,116.06,$8.3B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/lea
LDL,"Lydall, Inc.",49.23,$843.87M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/ldl
MGA,"Magna International, Inc.",42.04,$16.3B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/mga
MTOR,"Meritor, Inc.",10.73,$930.97M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/mtor
MPG,Metaldyne Performance Group Inc.,15.76,$1.06B,2014,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/mpg
MOD,Modine Manufacturing Company,10.9,$520.81M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/mod
SMP,"Standard Motor Products, Inc.",47.68,$1.08B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/smp
SRI,"Stoneridge, Inc.",17.88,$497.83M,1997,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/sri
SUP,"Superior Industries International, Inc.",28.34,$720.29M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/sup
TEN,Tenneco Inc.,55.4,$3.14B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/ten
TOWR,"Tower International, Inc.",22.84,$480.85M,2010,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/towr
VC,Visteon Corporation,69.05,$2.35B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/vc
ABG,Asbury Automotive Group Inc,55.4,$1.23B,2002,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/abg
AN,"AutoNation, Inc.",48.32,$4.93B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/an
CWH,"Camping World Holdings, Inc.",21.06,$1.69B,2016,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cwh
KMX,CarMax Inc,51.25,$9.75B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/kmx
CTB,Cooper Tire & Rubber Company,36.35,$1.97B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/ctb
CST,"CST Brands, Inc.",47.97,$3.63B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cst
GPC,Genuine Parts Company,98.01,$14.6B,n/a,Capital Goods,Automotive Aftermarket,http://www.nasdaq.com/symbol/gpc
GPI,"Group 1 Automotive, Inc.",62.73,$1.34B,1997,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/gpi
KAR,"KAR Auction Services, Inc",43.42,$5.99B,2009,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/kar
LAD,"Lithia Motors, Inc.",96.01,$2.42B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/lad
MUSA,Murphy USA Inc.,69.38,$2.72B,2013,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/musa
PAG,"Penske Automotive Group, Inc.",45.28,$3.86B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/pag
SAH,"Sonic Automotive, Inc.",18.92,$859.87M,1997,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/sah
BHLB,"Berkshire Hills Bancorp, Inc.",27.75,$864.11M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/bhlb
NYCB,"New York Community Bancorp, Inc.",13.92,$6.78B,n/a,Finance,Banks,http://www.nasdaq.com/symbol/nycb
ABEV,Ambev S.A.,6.09,$95.72B,2013,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/abev
BUD,Anheuser-Busch Inbev SA,128.65,$259.78B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/bud
SAM,"Boston Beer Company, Inc. (The)",155.41,$1.93B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/sam
BORN,China New Borun Corporation,1.4299,$36.78M,2010,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/born
KOF,Coca Cola Femsa S.A.B. de C.V.,80.16,$16.62B,1993,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/kof
KO,Coca-Cola Company (The),41.67,$179.85B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/ko
CCE,Coca-Cola European Partners plc,37.97,$18.32B,2016,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/cce
CCU,"Compania Cervecerias Unidas, S.A.",20.53,$3.79B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/ccu
STZ,Constellation Brands Inc,169.46,$34.07B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/stz
COT,Cott Corporation,13.48,$1.86B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/cot
DEO,Diageo plc,108.5,$74.71B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/deo
DPS,"Dr Pepper Snapple Group, Inc",87.12,$16.15B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/dps
FMX,Fomento Economico Mexicano S.A.B. de C.V.,96.56,$172.76B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/fmx
TAP,Molson Coors Brewing  Company,111.25,$18.11B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/tap
PEP,"Pepsico, Inc.",106.83,$153.21B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/pep
VCO,Vina Concha Y Toro,34.25,$1.28B,1994,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/vco
CRL,"Charles River Laboratories International, Inc.",80.55,$3.81B,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/crl
