,Store,Name,Store Status,Address,City,State,Zip Code,Report Date,Latitude,Longitude
92,2590,Hy-Vee Food Store #5 / Cedar Rapids,A,3235 Oakland Road NE,Cedar Rapids,IA,52402,10/01/2016,42.01081,-91.658175
93,2591,Hy-Vee Wine and Spirits / Atlantic,A,1602 E. 7th St.,Atlantic,IA,50022,10/01/2016,41.403856,-94.990183
94,2592,Hy-Vee Drugstore / Marshalltown,A,1712 S Center  St,Marshalltown,IA,50158,10/01/2016,42.027531,-92.912505
95,2593,Hy-Vee Food Store / Carroll,A,905 US Highway 30 West,Carroll,IA,51401,10/01/2016,42.064155,-94.853591
96,2594,Hy-Vee Food Store / Sioux City,A,4500 Sergeant Road,Sioux City,IA,51106,10/01/2016,42.447471,-96.347261
97,2595,Hy-Vee Wine and Spirits / Denison,A,"1620  4th Ave, South",Denison,IA,51442,10/01/2016,42.012395,-95.348601
98,2596,Hy-Vee / Regal Liquors and Video,A,2453 North Court,Ottumwa,IA,52501,10/01/2016,41.049849,-92.408084
99,2597,Hy-Vee Food Store / Cherokee,A,1300 N. Second,Cherokee,IA,51012,10/01/2016,42.765201,-95.55257
100,2599,Hy-Vee Wine and Spirits / Coralville,I,1914 8th Street,Coralville,IA,52241,10/01/2016,41.682013,-91.590715
101,2600,Hy-Vee Food Store / Oskaloosa,A,110  S  D  St,Oskaloosa,IA,52577,10/01/2016,41.294496,-92.649777
102,2601,Hy-Vee Food Store / Fairfield,A,1300 West Burlington Ave,Fairfield,IA,52556,10/01/2016,41.006456,-91.978702
103,2602,Hy-Vee Food Store / Webster City,A,823  2nd St,Webster City,IA,50595,10/01/2016,42.469466,-93.825486
104,2603,Hy-Vee Wine and Spirits / Bettendorf,A,2890 Devils Glen Road,Bettendorf,IA,52722,10/01/2016,41.552338,-90.483701
105,2604,Hy-Vee Wine and Spirits / Lemars,A,1201 12th Ave SW,Lemars,IA,51031,10/01/2016,42.778257,-96.18335
106,2605,Hy-Vee Drugstore #5 / Cedar Rapids,A,2001 Blairs Ferry Road NE,Cedar Rapids,IA,52402,10/01/2016,42.034799,-91.668909
107,2606,Hy-Vee Wine and Spirits / Humboldt,A,1011  13th St North,Humboldt,IA,50548,10/01/2016,42.733221,-94.227116
108,2607,Hy-Vee Wine and Spirits / Shenandoah,A,520 So Fremont,Shenandoah,IA,51601,10/01/2016,40.760911,-95.385106
109,2609,Hy-Vee Drugstore #2 / Ames,A,500 Main St,Ames,IA,50010,10/01/2016,42.025042,-93.618247
110,2611,Hy-Vee Drugstore / Ottumwa,A,1140 North Jefferson St,Ottumwa,IA,52501,10/01/2016,41.026754,-92.401538
111,2612,Hy-Vee Store / Perry,A,1215  141 St,Perry,IA,50220,10/01/2016,41.830299,-94.104404
112,2613,Hy-Vee Food Store #1 / Council Bluffs,A,2323 W Broadway,Council Bluffs,IA,51501,10/01/2016,41.261925,-95.879662
