,title,company,location,reviews,summary,hourly,monthly,yearly,est_sal
317,Statistical Modeler,LexisNexis,"Alpharetta, GA 30005",354,"Experience processing large data sets. Strong understanding of statistical methods applied to data analysis. The incumbent will have experience in data mining,...",0,0,0,
318,Research Analyst - Office,JLL,"Atlanta, GA 30326 (Buckhead area)",759,"Respond to all internal and external clients requests for data and information. Strong analytical skills, problem solving skills, and ability to process and...",0,0,0,
319,Senior Personnel Data Scientist/Analyst,McKinsey & Company,"Atlanta, GA 30318 (Rockdale area)",169,"Statistical modeling, machine learning, data mining. Data storage, schema design, cleaning, and ETL. You will also manage personnel data and systems from many...",0,0,0,
320,10915 VENDOR RESEARCH ANALYST,Northside Hospital,"Atlanta, GA",330,Imagine a place where you can improve lives every day — this place is Northside Hospital. Join our team of medical professionals who offer a lifetime of care.,0,0,0,
321,Analyst - Market Research,"Market Strategies International, Inc.","Atlanta, GA",,"Proficiency in data analysis packages (e.g. Analysts maintain data integrity, use a variety of analytic techniques to understand data and relay the implications...",0,0,0,
322,Manager - Data Scientist,KPMG,"Atlanta, GA 30338","1,766","Eight years of professional experience working as a Data Scientist. Machine learning, data visualization, statistical modeling, data mining, or information...",0,0,0,
323,"Sr Data Engineer - Atlanta, GA",Honeywell,"Atlanta, GA","3,471",Work closely with data scientists and product managers to understand their data requirements for existing and future projects on data analytics applications....,0,0,0,
324,Post Doctoral Fellow - Statistical Genetics/Genetic Epidemio...,Emory University,"Atlanta, GA",254,Helps design and conduct research within a specified field while receiving advanced training from a designated Principal Investigator to enhance professional,0,0,0,
325,"Manager, Data Enablement",Cox Automotive,"Atlanta, GA",42,"Develop and maintain effective working relationships with subject matter experts, analysts, data scientists, and technology teams across Cox Automotive in order...",0,0,0,
326,Principal Appl. Developer,ADP,"Alpharetta, GA 30022","1,654","At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",0,0,0,
327,Senior Head Start Grantee Specialist,ICF,"Atlanta, GA 30301",233,"We are business analysts, policy specialists, technologists, researchers, digital strategists, social scientists and creatives....",0,0,0,
328,DATA SCIENTIST,Home Depot,"Atlanta, GA","20,566",Strong communication and data presentation skills. Insights from data to solve business problems. The Data Scientist will develop the analytical infrastructure...,0,0,0,
329,Design Engineer IV,ADP,"Alpharetta, GA 30005","1,654","At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",0,0,0,
330,Staff Analytics Engineer – Installed Base,GE Power,"Atlanta, GA",152,"Architects, Data Scientists, Businesses and Product Managers. Establish metadata management, data catalogs, data standards & best practices for the data objects...",0,0,0,
331,Data Analyst,StrategyWise,"Atlanta, GA",,"Technical expertise regarding data models, data mining and segmentation techniques. This position is a career-development track to Data Scientist or Strategy...",0,0,0,
332,Sr Research Analyst (Industrial),JLL,"Atlanta, GA 30326 (Buckhead area)",759,"Track, maintain and disseminate detailed data for critical indicators including lease and sales comparables, development pipelines and active tenants in the...",0,0,0,
333,Principal Statistical Modeler,LexisNexis,"Alpharetta, GA 30005",354,"The incumbent also provides analytics consultation and results interpretation across Business Verticals, Product Management, Data Fabrication, and Data...",0,0,0,
334,"Cloud Instructor (Big Data, Machine Learning), Google Cloud...",Google,"Atlanta, GA","1,216","Python, Java) and data science (i.e. Technical experience in programming (Python/Java) and data science (statistics/ETL/machine learning)....",0,0,0,
335,Policy and Research Analyst,Office of Student Achievement,"Atlanta, GA",,Experience analyzing education data Additional Information:. Ability to analyze data and draw conclusions to improve processes and programming....,0,0,0,
336,Advanced Analytics Enablement Big Data Senior Consultant,Deloitte,"Atlanta, GA","3,458","Experience working as a Data Scientist. Perform data studies and data discovery routines for video, voice, weblog, sensor, machine and social media data sources...",0,0,0,
337,Statistical Modeler,Reed Elsevier,"Alpharetta, GA",32,"Experience processing large data sets. Strong understanding of statistical methods applied to data analysis. The incumbent will have experience in data mining,...",0,0,0,
